IDX	상호명	리뷰	점수
331	바다어린이집	원장이 성격이 이상해요.....	1점
332	이선숙헤어	"복구펌 정말 역대급입니다.  여기 원장님께서 미용경력이 40년 이라는데... 넘사벽.  거기에 ""미용기능장"" 이라고 하시네요. 일단 이것부터 정말 어마어마 한거죠. 살면서 미용기능장 에게 직접 머리를 맡겨볼수있는 기회가 흔하지 않을거 같아요.  파마하고 나서 망가진 머리때문에 정말 속상한경험, 기억 다들 있잖아요. 밖에도 나가기 싫고, 일도 나가기 싫고, ..."	5점
333	계양동태탕	조금 아쉬워요	2점
334	중부건어물	최고예요	5점
335	영이네물회전문점	하나를 보면 열을 안다고 매장 들어서면 여느 바닷가 횟집가 달리 시설은 작아도 사장님 응대 및 청결함 까지  한그릇 음식 역쉬 정성스럽네요 	5점
336	초가메밀우동	인생 우동집!	5점
337	미송일식	생선회 가성비 좋음	5점
338	산마을	치킨은 두말 할꺼 없이 최고!!!!다른 안주도 맛나요!!특히 치킨은 진짜 너무 맛있어요	5점
339	엄니밥줘	최고예요	5점
340	큐스튜디오	별로에요	1점
341	스윗라이드	사장님 친절하시고 정말좋아요 여자라서 불안했는데 설명도 잘해주시네요	5점
342	한혜진음악학원	최고에요.^^	5점
343	커피.옳다	궁금하면 커피드셔보세요!  바닐라라떼 맛나요 >.<	5점
344	하버뷰모텔	당일 예약하고갔다가 냉장고에서 냄새도나고 방도 아닌것같아 환불요구했더니 50%씩이나 환불받고 나왔습니다 정말로 완전비추입니다	1점
345	인기자동차운전전문학원	남자 상담사 진짜 불친절합니다 말 계속 바꾸고 설명도 제대로 못 하십니다 계속 주말 문의했는데 평일기준으로 설명하고... 답답해서 다른 기관에 접수했습니다	1점
346	진땡이	맛있고 친절합니다	5점
347	청수가마솥설렁탕	설렁탕. 넘진하고맛있삼  	5점
348	이모네김밥	와... 떡볶이 해놓은지 6시간은 지난거 주나여.. 순대 내장 조금만 달라고했더니.. 2인분 시켰는데 내장이 반 이상이고 먹어도먹어도 내장 계속나옴.  수제김말이는 기름듬뿍에 심지어 탔음..  만두피는 엄청두꺼워... 두꺼운데 기름 듬뿍먹고있음. 쫄면은 너무 삶았는지 면이 안씹혀요  와우.. 한입씩 먹고 다 버림. ㅋㅋㅋㅋ	1점
349	춘천산골닭갈비	적당히 먹을만함	3점
350	실버스푼	"인천 지역 소외계층(고령자,장애인,다문화)의 일자리 창출형 실버복지카페입니다 지역주민들에게는 사회활동을 제공하고 소외계층에게는 일자리를 제공합니다 인천에 좀더 많은 소외계층과 취약계층을 위한 일자리가 생겼으면 좋겠습니다"	5점
351	토마토김밥	맛은 잇는데 요즘같은 시국에 마스크는 끼고 김밥 싸셧으면 좋겟습니다............	2점
352	뉴정보처리학원	최고예요	5점
353	이자까야류	최고예요	5점
354	뽀송이세탁	짜증나는 곳.  왜 자꾸 자전거도로에 불법주차하는건데? 주변 사람들이 본인들 때문에 불편을 겪든 말든 신경 안 쓰는 이런 곳은 이용해주지 말아야 함.	1점
355	도스마스	이렇게 빈약한 부리또는 처음 먹어봐요.	1점
356	용경향	2018년 까지는 서비스나 질적인 면에서 좋왔는데 2019년부터  맛도별루고 써비스도 별루고 재수없으면  대기시간 기본이 30분정도 기두려야 나옴. 아자씨 양파좀 주세요 하면 500원짜리 동전만한 양파 4등분해서 갔다줌. 지금은 직원들 전부 디오빌1층 동우로 감 암만 사람이 많아도 10분이내에 나옴 맛은 용경향이나 동우나 도찐개찐 이지만 써비스와 신속성은 ...	1점
357	삼구부동산	사장님이 아주 친절하며 물건 설명 꼼꼼히 전문적으로 잘 설명해 주십니다	5점
358	경복궁가좌점엔타스시스템	점심시간에 갈비탕 3개 시켰는데 1개만된다고하고 비싼 다른메뉴추천함 그나마 갈비탕도 중국집에서 시켜먹는 1회용 포장 갈비탕정도 이게 뭡니까? 가좌동에 자긍심으로 알았던 대형식당 완전 꽝꽝꽝 	1점
359	녹두장군삼계탕	별로에요 	1점
360	푸른바다	"맛.서비스,위생,청결까지 최고!!!!!  "	5점
361	미림펜션	매년 가족들과 함께 가는 펜션입니다 가족들하고 친구들까지 가기 참 좋은 펜션입니다~	5점
362	석정	간장게장의 정석	4점
363	성주컴퓨터	컴퓨터가 문제가 있어 점검하다 어느 부분이 문제이지 몰라 가져갔더니 친절하게 알려주셨습니다.	5점
364	남자는머리빨	"원장님이 친절하고 가격(커트5,000원)도 저렴하며 자주 가고 있습니다. "	5점
365	대진	최고예요	5점
366	용일불교백화점	최고예요	5점
367	피자웰리스	최고예요	5점
368	크림슨학원	"철저한 개인별 집중관리,단계적이고 체계적인 학습관리,국내 최고의 강사진이 확실한 자신감을 심어주어 강추합니다~~~!!!."	5점
369	화가조개구이	조개구이 JMT 사장님이 구워주시고 친절하세요 술이 호로록 넘어가는 맛집입니댜 번창하시길!	5점
370	행운부동산	남자사장님 정말 좋으십니다 최선을 다해 보여주시고 따뜻한 진심이 느껴집니다..사정이 있어서 계약하지 못했지만 감사한 마음이네요~ 번창하시길 바랍니다^^	5점
371	시골막창	맛있어요!	5점
372	성광조명	작년에 커피숍을 open 하느라고 들리어서 led 조명등을 저렴한 가격에 구입 하였고 친절해서 올해도 들렸더니 마음에 드는 조명을 많이 확보해 놓아서 너무 좋았구요 변함없이 친절해서 행복한 마음으로 조명등을 구입하고 돌아 와서 무어라 감사 해야 할지 모르겠습니다 더욱이 박사장님 말씀대로 조명등을 바꾸어 달았더니 손님들이 더 많이 오시는데 너무나 고맙습니다	5점
373	신광신발	하나공인중개사사무소 032-584-1114  010-8968-1669 부동산중개	5점
374	하나키즈어린이집	하나키즈어린이집은 대한민국 1등! 스마트알림장 키즈노트! 를 사용합니다.  직장에서도 집에서도 스마트폰과 컴퓨터에서 우리 아이의 일상을 확인할 수 있어요 ^^  키즈노트를 사용하는 원에는 우리아이들을 안심하고 보낼 수 있답니다 ♥	5점
375	한우천국	좋은표현이 충분히 많은데 번호표를 손에서 뺏으시고 윽박지르듯 하시는건 아니지요. 사장인지 직원인지 모르겠으나 사람이 좋지 못한데 음식이 좋을리 없지요. 비싼 돈 내고 먹을 곳은 아니네요	1점
376	양양입암막국수	더운날씨에  손님이 오셔서   차를 타고와 ~음식을 주문하고 1시간을 기달려도 주문한 음식이 안나와  물어 보니  마냥 기달리라고 하네요~~ 기다리는 시간이  너무 길고 직원은 불친절 하네요~` 기다리는 시간에 비해 음식 맛이 없네요~	1점
377	태흥정육점	한우 육회를 따로 팔아요	5점
378	신포가정식백반	6천원이라는 게 믿기 않을 정도의 다양한 반찬이 있습니다 맛도 하나같이 훌륭하고요 한식뷔페 중에서 최고급이라고 봐도 될 듯하네요 신포시장에 놀러와서 뭐 먹을지 고민하다가 찾아서 들어갔는데 정말 훌륭한 식사였습니다	5점
379	커피앤스모킹	남자분이 사장인지 모르지만 말투가 사람 기분이 매우 나쁘게 함	1점
380	엘지텔레콤대리점	"어제 방문한 대진텔레콤...손님을 책상 하나 사이에 두고 여직원들끼리 진상이 어쩌내 저쩌내 하는 수다를 시작함. 간단한 번호해지업무나 기기변경업무에도 손님에게 짜증을 내며 ""다음에는 이런일로 오지 않으실거죠? 다음엔 핸드폰 사러오세요."" 라는 망언을 던짐. 기기변경하면서 번호등록을 안해줘서 번호는 붕뜨고 핸드폰은 먹통 오늘 다시 방문해야하는 수고까지 줌"	1점
381	해모수	넓고 좋아요 북적되지 안하서 더 좋구요	4점
382	송바돔	"별하나도 아깝다ㅡㅡ 결제할때 직원실수로 금액 더 결제하길래 2000원은 빼주셔야한다, 잘못 추가된것같다. 말했더니 한숨 푹푹쉬면서 영수증들 던지고 얼굴 빤히 쳐다보고ㅡㅡ 가족끼리 기분좋게 먹으러왔다가 기분 잡치고 갑니다. 딱봐도 어려보이는 단발 머리 여자분 그렇게 일하지 마세요. 실수했으면 먼저 죄송합니다가 먼저입니다. 직원교육좀 제대로 하세요."	1점
383	OK밧데리할인점	저렴하고 친철하고 주위에 소개 많이 시켜드릴께요	5점
384	아바이왕순대	좋아요	4점
385	고기굽는카페조선	지난주에 다녀왔는데 친절하고 좋던데요.. 사장님이 직접 서빙할때 조았는데 서비스 별로라는 댓글 다신분들은 직원들이 별로였나 보네요	5점
386	부동산	친절하시고~ 설명 잘해주시고~ 추천이요~	5점
387	초밥365	초밥만드는 아주머니 핸드폰만지고 손도 안씻고 초밥 계속 만드시네요 그림에는 2피스인데 막상 나오는건 1피스고 밥양도 초밥크기도 엄지 한마디만함.. 뷁	1점
388	왕십리왕곱창	"불친절하시고 모듬구이곱창은 맛있는데 돼지양념구이막창 절대 드시지 마세요 다 익혀서 나온 거 같아서 먹었는데 진짜진짜 돼지 꿉꿉한 냄새 나길래 ""아 덜 익어서 그런가보다~""했는데 아무리 익혀도 똑같더라구요 비린 거 못 드시는 분 절대 드시지 마세요 첫방문에도 서비스가 영 꽝이었는데 모듬곱창 맛있어서 다른 메뉴도 괜찮을 거 같아서 재방문했는데 진짜... 돼지 ..."	1점
389	문화반점	운치있는 옛날골목에 감성적인 분위기 그리고 항상 변하지않는 오래된 정통의 중식맛. 자주 들를수밖에 없는 숨은 맛집.	5점
390	베라체환경	친절하고 꼼꼼 하게 내집 처렁 신경써 주셔서 감사합니다~다음에도 잘 부탁드립니다~^^	5점
391	기아자동차	보통이에요	3점
392	뚝딱간장게장	맛은 평범 가격... 어휴... 가격표도 안바꿔 놓음.. 속은 기분... 여기 표시된 가격보다 만원 더 비싸다고 생각하시면 됨	1점
393	케이-헤어터치미용실	저희 가족 모두 항상 이곳에서 머리 자릅니다 10대때부터 20대인 지금까지 항상 세련되게 스타일링 해주시고 무엇보다 사장님이 정직하십니다!	5점
394	LG패션인천송림아울렛	"헤지스, 닥스 등 이월상품을 저렴하게 살 수 있어서 가끔가요. 행사할때 가면 더 싸요."	5점
395	미진상회	"신선하고, 양도 많고 정말 맛있었어요. 사장님부부 친철하시고, 감사했습니다. 재방문할꺼에요. "	5점
396	모래내시장	"깔끔, 사람사는 냄새"	5점
397	신화헤어	항암치료때문에 머리카락이 빠져서 제대로 밖에도 나가지 못하고 고민이 많았는데........ 가발이 자연스럽고 친절하게 해 주셔서 좋았습니다. 가격도 다른곳과 비교해서 마니 싸게 산거 같아요... 감사드려요.  	5점
398	보드람치킨	좋아요	4점
399	갈산갈비	맛은 있는데 직원분들이 너무 정신이없어요 ㅜ 뭐 주문하고 뭐 가져다달라고 하면 네네~ 대답만하고 바빠서 안가져다줘요 3번은 말해야 가져다주는듯.. 그리고 계산할 때 본인이 주문한거 확실하게 확인하세요 주문도 안한 공기밥이나 음료수가 같이 계산됨.. 2번이나 그랬어요	3점
400	베스킨라빈스	"오늘은 31일 아이스크림 먹는 날~  아쒸~~  '손님은 우리만 있었는데' 드라이아이스 안 넣어줘서 녹아 씀  전화 했더니  알바 핑계 대고 31일 행사 바쁘다는 핑계대고....(손님 없었음) 어떻게 해드릴까요? 가지고 나오라네요 -지금 싸우자는 거임....  죄송하고, 다음부터 잘 챙길게요 라고 얘기할 줄 알았는데...  끝까지 핑계만 되네요.  오너로서..."	1점
401	카페801	여기 정말 좋아요...ㅠㅜ 꼭 오세요!! 일단 가격이 너무 착하고 맛있어요!! 저는 오미자차를 먹었고 친구는 카라멜 마키아또를 먹었었는데 둘 다 되게 맛있었어요!! 특히 시험 공부할 곳 없을 때 2층에서 하면 좋을 것 같아요. 사장님도 되게 친절하시답니당!	5점
402	소문난닭갈비	싸고 괜찮음	4점
403	젠틀맨	2주일 지난 지금도 울고 있습니다	1점
404	참다랑어	최고예요	5점
405	지연네조개구이	이곳이 그곳..소래는 다 똑같네..예전에 다른곳도 갔는데 유튜브하고 똑같이 하더만 여기도 변함이 없네..한개도 아깝다.	1점
406	비바하우스	맛있음!!	5점
407	월드공인중개사	"집주인을 위한 영업마인드가 좋습니다. 집주인을 위한, 집주인에 대한, 집주인에 위한.."	1점
408	월드고시원	원룸텔이 라면도 없고 김치도 안주네 	1점
409	코리안바베큐	맛있어서 자꾸 가고 싶다. 	4점
410	낭만안선생	닭갈비 	5점
411	인천정문학원	"정문학원은 역사가 있다고 일고있는데  역사가 있는 학원은 무엇이 달라도 다르다고 알고 있씀니다. 특히 분위기가 좋고요.분야별 선생님이 많아 전문적인 선생님께 공부 할수 있써 좋씀니다, 적극 추천 합니다, simompk"	5점
412	데일리브라운	좋아요	4점
413	짬뽕파티	"맛은 짜왕이 좀 더 맛있구요 맛을 떠나 주방장에 계신 아저씨, 아줌마가 마스크를 안끼면 어떡하나요 코로나가 아니여도 주방장은 마스크가 기본입니다."	1점
414	어부회센타	처음 가격보고 서울보다 비싸네 ㅜㅜ 하지만 관광지이니 이해하자고 먹었는데 ... 으악~~! 인심 좋은 아저씨가 직접 잡은 자연산회에 세상에 서비스안주(반찬?)도 직접 잡은 자연산 회~ 도다리 세꼬시는 정말 고소함이 최고예요~~^^ 	5점
415	명진웨딩부페	최고예요	5점
416	더글러스	양도 많고 가격도 저렴해요 닭강정 추천	5점
417	성지세탁	별하나도 아까움.신발두컬레.맡겼다가 다 상하고 적반하장으로탈수는 세탁기로 했다면서 당당하게 소비자고발센터에.가란다절대 가지마세요	1점
418	김밥천국	너무 맛나요.   근데 상호가 바꼈네요-!  먹방 카페 최고	5점
419	가마솥설렁탕	메뉴판에 원산지 표기좀. 	1점
420	커피향&브런치	분위기가 좀  있어요	5점
421	부평웨딩프로포즈	음식 별로예요~	1점
422	소피아	사진과 전혀 다른상황.. 목욕가운도 없고 이불과 베개는 약간 누리끼리함   화장실 하수구 냄새 올라옴 냄새도 있음 여관정도..  손님이 없어서 주변 모텔은 문닫은것같고 역시 주차공간은 넓음 도원역에서 약 300m라서 가깝	2점
423	E-조은부동산공인중개사사무소	최고예요~~ 좋은집 감사합니다~~^^	5점
424	스타당구장	사장님이 너무 친절하세요~	5점
425	취아전	과메기철이 오길	4점
426	대우회집	완전바가지 양도 코딱지만큼주고 그렇다고 그렇게 신선한것도아니고 	1점
427	월드자동차공업	위치가좋아요. 그리고친절해요	5점
428	신영철물	가계는 크지 않지만 부평 철물점의 터줏대감입니다.  부부가 40년 가까이 하고계심.	5점
429	GM대우학익바로정비코너	http://yna.kr/AKR20181226040751055?input=kks	1점
430	회떠가는어부가	"회만 맛있는 집.  스끼다시 별도.  상차림비 인당 2,000원 별도.  매운탕 진짜 매운탕임(정말 맵기만 함) 54,000원 중 지역상품권50,000원 현금 4,000원 현금영수증 요구 했더니 막 화내면서 다시는 오지 말라고 함.  지역상품권은 현금이 아니라며 현금 4,000원 만 해줌.  보통 웃으면서 부탁조로 이야기하는데 내돈 내고 먹는데 화내는 것 ..."	1점
431	플러스부동산	친절하게 잘 해주시기도 하고 좋은 방 구해주셔서 신혼으로 생활 할 수 있는라 빌라 잘 구했습니다. 감사합니다.	5점
432	금산알뜰매장	여기서 물건 샀는데 저렴하게 주셔서 단골 됬습니다 번창하세요ㅋ	5점
433	아너스대대전용클럽	만이정액요금제 입장시 만원 한게임  패배시 이천원	5점
434	에메랄드모텔	사장이 불친절 돈에 눈멈 옆에 사모 똑같은인간 방 ○○○더러움 벽에 얼룩 좀 심함 화장실 물 잘안나옴 수건에서 냄새남 방 추움	1점
435	바다뚝배기동태탕	가격대비 맛잇게 먹고 왓어요~~^^*	3점
436	새마을식당	와 신세계!!	5점
437	충남곱창	가격대비 가성비 갑! 직접가면 서비스로 곱창백볶음주고 곱창전골 먹으면 완전 짱	5점
438	엠보싱앵글	최고최고최고최고	5점
439	은성art어린이집	최고예요	5점
440	팔복수산	인심 좋으신 미인 아주머니 사장님과 맛있는 회!! 뭐가 더 필요하겠어요. 추천합니다!!	5점
441	에스호텔	가성비갑	5점
442	사랑어린이집	최고예요	5점
443	봄날	정말 맛있어요!!! 칼국수 정식 2인분시켜서 먹었는데 반찬 하나하나 다 정갈하고 맛도 있어서 정말 만족스럽게 먹었습니다.   친구랑 같이 갔었는데 부모님 모시고 꼭 다시 오고 싶은 곳이에요!! 	5점
444	바이올렛2	연식에 비해 깔끔해요~	2점
445	신현세탁소	무식한사장. 짜증난다.	1점
446	착한양다리&양갈비&양꼬치	최고예요	5점
447	금호부동산	좋은집 소개 감사합니다.	5점
448	청년플라워	꽃다발예약했는데  너무예쁘게만들어주셔서  기쁘네용 ㅋㅋㅋ 또올게용  단골예약♥	5점
449	인천남동우체국	최고예요	5점
450	사진	고양이 너무 귀여워요. 사장님이 아름다우셔요	5점
451	인타임	보통이에요	3점
452	이로이로벤또&라멘	이 근처에서 맛 볼수없는 라멘을 먹을 수 있다. 맛도 깔끔하니 좋다 오래오래 장사하셨으면 하는 마음이 드는 맛! 가게는 작은편이니 테이크아웃이나 소규모 인원끼리 가서 먹으면 좋을 것 같다.	5점
453	24시전주명가콩나물국밥	최고예요	5점
454	빅바이크	저는 갈 때마다 친절하게 필요한걸 잘 해주셔서 좋아요~	5점
455	한양궁	탕슉  차장 짬뽕  세트 시켰는데 탕슉은 빳빳하고 소스젤리바른듯  찐득찐득  짬뽕 그저그럼 짜장도 옜날식인데 찐득함 여기가 어떻게 별점4점이상인지 	1점
456	빈대떡	보통이에요	3점
457	벨리타헤어	친절하고 머리도 잘하네요. 부평 왠만한 미용실보다 나은거 같아요^^	5점
458	경인기획	"바쁜중에 도장이 필요해 인터넷을 검색해 경인기획에 들렸는데  즉석에서 도장(인장)나오더라구요! 그것뿐이 아니라 인쇄, 판촉물 등 원스톱으로 가능하게 운영하셔서 지금은 단골이 됬습니다. 강~추 "	5점
459	더히든키친	평일 오후 3시까지 운영.  디테일이 그냥 아쉽다.  흔히 식전빵이라 부르는 것을 2천원에 따로 판다.  그럴 수 있다.   오후 2시에 주문했더니  2천원 주고 추가한 바게트 네 조각이 차갑게 식어서 나왔다.  단면에 토스트한 흔적이 있는 걸 보면...따뜻하게 나올 수도 있었을텐데.  그냥 아쉽다.    K-알리오올리오는 홍합과 파마산이 올라간다  굴러다...	4점
460	머리예술미용실	사장님이 아름다워용	5점
461	허준산약초건강원	건강원에 들어서면 담금주가 넘멋있게 진열된것을 볼수있다. 주인장 산행후 담근약초술이 건강을 자극하는것 갔다. 판매하는건 아니고 눈으로보는 장식품이란다. 한쪽에는 최신시설로된 기계로 약초즙내리는데 청결하고 깨끗이 정리된것이 너무 보기좋았다. 쥔장은 주말은 천여평의 농장을 직접 약초재배를하여 활용하고 시간나는데로 산행해서 약초를 구해다 활용한다고 한다. 	5점
462	멕시카나치킨	최고예요	5점
463	축산고기촌	"여기서 고기 사먹다가 이번 추석 선물세트 했는데 너무 만족했어요~ 밑에 안 보이게 뼈만 넣고 위에만 예쁘게 해놓는 집도 많은데 여기는 직접 설명해주시고 보여주시면서 만들어주시니 믿음이 가고 선물하는 입장에서 마음이 든든해졌어요 ^^ 또, 포장이 보통 하나로 통일되어 있는데 이 집은 보자기로 할지 선물세트 박스에 할지 선택할 수 있어서 더 좋았던 것 같아요!..."	5점
464	우담	눈꽃살 양념 돼지갈비 된장찌개 갈비탕 강추! 여기 밑반찬 성의가있네요	5점
465	고향골돌솥추어탕	추어탕 맛잇고 돌솥밥이라 개인적으로 최고~  가격도 칠천냥  단 밥하는 시간이 있어서   미리 가기전 예약하면  긋	5점
466	닐리리손칼국수	보양식이 따로 없네요 해장에도 제격이고 무엇보다 속쓰린  마음알듯 듬뿍주신 닭칼국수 너무 많아 조금 냄겼네요 우연히 들린 최고의 맛집 다음엔 지인들과 또 올께요^^	5점
467	하영	너무만족해서 후기올립니다!! 제가염색을자주하는편이라서 많이손상되어있는 상태였는데 염색은하고싶고..손상보단 머릿결을좋게해준다는것??을추천해주셔서 한번해보게되었는데 색도고급스러움을나타내고머릿결이찰랑ㅎㅎ너무좋습니다!!! 은은한색상과 건강해진것같은모발을동시에할수있어서 정말좋아욯ㅎㅎ	5점
468	꾸브라꼬숯불두마리치킨	"야식으로 숯불 치킨 먹고 싶어서 반신반의로 주문했는데, 양념도 적당히 달고 서비스로 받은 새우링도 핵존맛!  가성비 굿~~"	5점
469	대광차유리	"콘파슨지 뭔지 태풍으로 유리가 아작나는 바람에,, 아오,, 급하게 전화드렸는데 친절히 잘해주시더군요 보험 가능 여부도 잘알려주셔서 덕분에 5만원만으로 잘했네요~ㅎㅎㅎ 고맙습니다 "	5점
470	우쭈쭈	여기 진짜 짱짱 맛있어요 .. !!!! 제가 유일하게 좋아하는 컵밥집 ><	5점
471	카페테라스	좋아요	4점
472	마리나까페	"Would love to give 5 Stars, but the Moskitos and no WiFi made the stay a little uncomfortable. Beside that great for small money "	3점
473	금호박사세탁소	"아파트와 가까워서 살아남는 곳. 드라이클리닝을 맡겨도 물세탁을 하는 것 같음. 세탁 후 목 때가 안 져서 다시 가져갔더니 ""이건 안 져요~"" 그냥 가져왔습니다."	1점
474	이즈피자	최고예요	5점
475	시사어학원	"이번에 JLPT N3 고득점 합격하였습니다. 직장생활로 인해 결석도 하였는데, 토요반으로 보강 안내도 해주셔서 감사합니다."	5점
476	은성식당	미쳤다. 인천 35년 인생 여길 처음 알다니	5점
477	청주식당	최고의 밥집	5점
478	형제전기.열쇠.철물	잘모르는사람가면 바가지 이거 3개 천원달라신다... 어이가없어서 그냥주고나옴	1점
479	다해회수산	비린거 잘못먹는데 맛있게 먹었습니다 스페셜하나시켜서 가족끼리 배터지게먹었네요 마지막에 버섯?조개칼국수 너무 맛있네요	5점
480	종가집칼국수	좋아요	4점
481	한방선자네왕족발	맛있어요 ㅎㅎ 저녁시간대가 가장 맛나는것같아요	5점
482	토담식당	참기름으로 무친 토시살과 마늘양구이는 소주 안주로 그만이다. 비록 육우를 사용하지만 고기의 퀄리티가 훌륭하고 밑반찬도 맛깔나다.	3점
483	공간사랑인테리어	신혼집을 정말 예쁘게 해주셨어요 얼른 들어가고 싶어요 ㅎㅎ	5점
484	살롱드에스본	"여기진짜 서창 원탑이에여. 레이어드컷, 숏컷, 펌 다 잘함 근데 가격도 싸고 개친절 원장님이 젊으신데 커트를 기가막히게 합니다."	5점
485	진미원불고기	내름 괜춘	4점
486	돈돌라리밥상	"매주 한번씩 원기 회복하러 갑니다. 맛도 최고, 서비스도 최고, 경치도 굿 굿 굿 입니다."	5점
487	사진명장스튜디오	사진을 정말 프로폐셔널 하게 찍어주셔요  명장패받으신 사장님	5점
488	제일부동산중개사무소	"사장님 사모님이 전세금잔액 사백만원을 안해주시네요 빨리 해결좀 해주세요 오개월이 됐는데도 해결이 안되어 여기에 글남김니다.집도 여러채 가지고 있으면서 너무하네요 기다리라해서 기다렸더니 아예 감감무소식이네요 내돈 4,000,000원 시월 중순안으로 해결해주세요 계속 전화하고 문자 보낼겁니다"	1점
489	차돌풍	차돌풍이 가까운데 있는 것은 행운이다. 매장관리도 잘되어있고 서버분들도 젊고 활기차며 친절하다. 가성비 좋은 고깃집임	5점
490	리안헤어	최악! 그냥 최악! 가지마세요!	1점
491	아워룸	여기서 컷트하고 한 달째 거울 볼 때 마다 개우울하고 개빡쳐요 몇 달은 길러야 전 상태로 갈 수 있어서 수습도 안되고 미용실 한 번 잘못갔다가 정병옴	1점
492	참숯불바베큐치킨	친절합니다 	5점
493	21세기공인중개사	사장님 너무 친절하시구 덕분에 좋은집 장만하게됬네요 늦은시간임에 불구하게 친절하게 맞아주신 사장님 감사합니다 계약할때 다시 뵙겠습니다 *^^*	5점
494	대한민국출장부페	인천 부근에서 행사하실땐 꼭 이용해보세요~ 만족하실겁니다	5점
495	서해식당	맛있는데요	5점
496	보은정육점	가격도 엄청 저렴해요!!! 삼겹살이 4500원!!!!!!! 가성비 값!!!!	5점
497	금강공인중개사사무소	사장님 첫인상이 밝아서 우선 좋았어요. 부동산이 집소개하고 복비 받음 끝인곳이 대부분인데 내일처럼 잘 챙겨주시더라고요~ 처음이라 모르는게 많아 이것저것 많이 물어보고 귀찮으셨을텐데 친절하게 대해주셔서 감사했습니다. 다음에도 또 찾아뵐께요~ ^^	5점
498	선미커텐	상품 마음에 듭니다~	5점
499	파리바게트부평청천	보통이에요	3점
500	교짬	서빙 하는사람 좀 답답함  주문받으러 올 생각을 안함 	1점
501	바른자세체형교정원	최고예요	5점
502	사거리포차	옛날에 중국집하던 사장님 그대로 하시나..?여기 혼자가면 사람차별하던데	1점
503	아암도갯벌장어	좋아요	4점
504	대왕김밥별관	맛잇어여	5점
505	동대문곱창	비위생적. 반찬 이랑 음식 서빙할 때 손가락 담궈줌. 음식하면서 기침. 밥을 손으로 담음. 맛이 있는 것도 아님. 무맛. 별 한개도 아깝다. 점심시간에 자리 텅텅 비어있는 이유가 있었음.  길에서 이 집 추천해준 아저씨 혹시 관계자신가요?ㅎ	1점
506	용두레	오리누룽지백숙 맛있다  반찬도 깔끔하고 방이라 좋고 ~~  무조건 100프로 예약제므로 한시간전에 예약 필수!	5점
507	나무꾼이야기	맛있고 최고라는사람 여기알바인듯...절데안감..화가나서나옴...서비스 꽝...	1점
508	인천건강원	"경동건강원입니다. 항상 정성을다해 다려드리겠습니다. 흑염소 , 개소주 , 사슴 , 달팽이 , 붕어 ,잉어 , 가물치 , 양파 , 사과 , 배 , 포도 등등 산모 , 다이어트 , 허약체질 , 수험생 , 운동선수 , 술많이드시는분 ...^^ 연락 주세요 "	5점
509	이향	전에 늦은 저녁 해결하려고 여기매장안에서 먹었었는데 지금까지 먹어본 짬뽕중 젤 맛없어요. . ㅠ맛없는 조개랑 홍합 쪼가리만 있음. . 남은거 준듯. .  ㅠ	1점
510	새샘어린이집	"여기 원장님이 숭의교회 다니는 교인입니다. 그렇게 안 생겼는데, 어린이집 장사로 돈 벌라고 합니다. 돈 밝혀요. 교사 월급 적게 주고 부려먹는다고 소문났어요. 저 같으면 이런 어린이집에 아이 못 맡깁니다."	1점
511	주먹고기	고기존맛 & 친절하신 사장님	5점
512	끌림	보통이에요	3점
513	펫셔니스타	신입미용사최악입니다	1점
514	효성어린이집	어린이아기에게  최선을다해  대하는모든선생님들입니다	5점
515	강지네해물손칼국수	ㅇ어러럴	4점
516	옥돌정쌈밥	맛있고 서비스 좋아요! 쌈적당히 먹을만큼만 가져다 먹으니좋구요:)	5점
517	민가네바지락칼국수	양 적고 손님한테 시비투로 말합니다 두 번 다신 안 가요 	1점
518	킹부동산공인중개사사무소	좀 드세고 마음대로 휘두르려는 느낌이네요 솔직하고 TMI 스타일이라 장점으로 볼 수도 있긴한데 듣다보니 엉터리 정보도 좀 있고 저는 좀 불편해서.. 다른 친절한데 가서 거래했어요	1점
519	블루스토리	깨끗하게 관리되어 있고 친절하세요.	5점
520	달콤한닭강정구월	닭강정 프랜차이즈 붐과 함께 들어왔지만 다른데 다 망해도 여긴 살아남았다	4점
521	그곳에가면통나무닭갈비	조금 아쉬워요	2점
522	호남광주목포횟집	10만원대 비싼가격대에 비해 질적이나 양적으로 부족함. 그래도 먹을만은함	3점
523	명가순대	간이 맛있다	5점
524	파리바게뜨동양지구	친절히설명해주시고~맛난빵과 음료~잘먹었습니다~^^	5점
525	미벨리아카데미	체계적인 벨리 학습이 이루어지는곳입니다.	5점
526	숙성고기	최고예요	5점
527	연어마을	보통이에요	3점
528	구워구워치킨	"진짜 추억의 장소 입니다! 제가 리뷰 잘 안 쓰는데 여기는 꼭 추천 해 드리고 싶어서 적어요, 동네 단골친구랑 얘기 나누면서 자주 가는 곳인데 정말 맛있고 사장님 친절하시고 사장님 댕댕이 마저도 너무 귀여워요 :) 치킨집 추천추천"	5점
529	치킨숯불닭바베큐	아싸 동네에 숨은맛집 발견 열라맛남	5점
530	도깨비포차	시끄럽지만 가성비 및 영업시간 굿	5점
